Public,Earn,SAT,ACT,Price,Price_with_aid,need_fraction,merit_aided
0,41900,1060,24,45400,25000,0.77,0.21
0,42500,1010,23,45600,19200,0.86,0.14
0,42000,1060,25,48200,23800,0.83,0.16
0,44300,940,18,46600,16400,0.72,0.2
0,43900,1270,29,57900,31200,0.41,0.53
1,45000,1160,24,24100,18200,0.42,0.12
0,47000,1070,24,48000,25400,0.7,0.1
1,41200,1090,24,22400,17800,0.5,0.16
0,41200,1040,24,43700,20900,0.74,0.1
0,48900,910,19,53200,28900,0.37,0.13
0,46500,1120,22,52000,27700,0.46,0.16
1,44800,1040,23,21500,12900,0.48,0.02
1,47700,1040,24,20400,10200,0.38,0.16
0,45100,1220,25,47200,35100,0.3,0.21
1,39600,1150,22,18700,13600,0.36,0.03
1,44200,1100,22,27300,7300,0.56,0.02
0,43400,1200,27,65000,35600,0.5,0.27
0,36100,1040,24,38100,20700,0.61,0.27
0,41100,1080,24,43200,22200,0.8,0.2
0,43700,1300,27,59600,36900,0.66,0.23
0,50500,1310,29,66600,37300,0.27,0.35
0,41800,1110,24,56700,32300,0.64,0.3
0,50000,1120,25,59500,39400,0.57,0.32
0,44800,1000,22,58800,40200,0.65,0.17
0,50700,1180,26,61200,36100,0.69,0.15
0,36000,1000,22,35800,19200,0.8,0.17
0,42000,1130,26,44000,29800,0.41,0.45
1,43700,1070,22,18600,13300,0.36,0.06
0,43800,1150,26,47800,32900,0.64,0.17
1,42200,990,20,22200,15100,0.35,0.03
0,50900,1290,28,66200,35500,0.38,0.08
1,43200,1030,22,25400,6000,0.51,0.05
1,40900,1120,24,21100,16900,0.32,0.22
1,43400,1170,25,25400,15200,0.39,0.17
1,39500,1070,22,23700,14000,0.4,0.12
0,46400,910,19,37700,21900,0.88,0.12
0,37800,1000,22,45400,22400,0.39,0.07
0,38600,1220,28,57700,30500,0.59,0.4
1,47400,1130,26,24000,15800,0.35,0.14
1,40700,990,20,21900,13900,0.49,0.02
0,40600,1120,24,52600,23900,0.6,0.05
1,42400,1110,22,27000,20500,0.32,0.01
0,39100,1040,24,37700,20600,0.73,0.1
1,47100,1010,22,25400,16100,0.49,0.06
1,40900,990,21,19000,9400,0.68,0.03
1,42900,1100,22,26100,7900,0.74,0.03
1,41300,1020,22,26200,15700,0.47,0.02
0,56700,1220,28,51400,30400,0.07,0.15
1,41100,1110,22,18600,13100,0.43,0.07
0,56500,1190,27,70400,40600,0.54,0.29
0,42400,1070,22,42800,18000,0.87,0.09
0,42100,1120,25,50100,35000,0.67,0.23
0,41600,980,24,49400,24700,0.75,0.25
0,50800,1220,28,62100,35400,0.53,0.16
1,42700,1080,25,28800,23800,0.45,0.13
1,42100,1120,25,28800,18000,0.52,0.13
1,43000,1060,22,18000,12600,0.37,0.04
0,47000,1370,29,51800,37300,0.42,0.27
0,49900,1330,30,65400,36300,0.41,0.41
1,45800,1120,22,28500,16800,0.34,0.09
0,45800,1110,25,49400,30600,0.57,0.37
1,43800,1030,21,24000,15800,0.49,0.07
0,41600,1100,24,48900,34400,0.65,0.16
0,42300,1010,22,45300,18200,0.68,0.12
0,42500,1070,23,50600,24100,0.69,0.13
0,52200,1040,23,60800,32300,0.71,0.21
0,47400,1180,27,55900,33900,0.35,0.27
0,51100,1110,25,61700,36100,0.68,0.15
0,45300,1260,28,61500,36800,0.45,0.11
1,44100,1110,25,25400,15500,0.33,0.12
0,40900,1070,23,38200,21100,0.82,0.14
1,40800,1110,21,19400,14800,0.39,0.2
0,44600,1040,22,55800,32300,0.72,0.21
0,48800,1160,25,58600,31900,0.64,0.22
0,42000,1010,22,42400,24300,0.84,0.16
0,41600,1160,25,46600,23100,0.68,0.25
1,42100,990,20,25900,18200,0.48,0.07
0,44100,1060,23,62400,37500,0.7,0.07
1,39200,1030,23,19600,11000,0.6,0.02
0,40600,1260,26,64500,39500,0.58,0.27
0,56100,1270,29,54200,30600,0.15,0.41
0,55000,1110,25,56500,32200,0.64,0.35
0,40200,1040,24,42300,23300,0.73,0.24
